model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-82.787	1.395	0.370	2.722	2.608	0.604	1.281	1	1	1	0.000	308.578	73.731	1274.310	0.000	0.000	0.000	-25.528	2598.620	-135.619	83.579	0.000	0.000	0.000	-165.755	-30.135	0.000	0.000
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-67.889	2.304	0.174	4.632	4.795	0.414	1.907	1	1	2	0.087	314.445	73.101	1055.490	0.000	0.000	0.000	-6.240	2588.430	-211.726	84.188	0.000	0.000	0.000	-230.953	-19.313	0.000	0.000
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-52.587	2.012	0.217	4.715	4.316	0.446	1.843	1	1	3	0.000	313.734	74.579	1006.200	0.000	0.000	0.000	-16.376	2610.360	-108.736	82.842	0.000	0.000	0.000	-123.199	-14.464	0.000	0.000
