model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../6_seletopclusts/cluster_1_model_1.pdb	-	1	-104.781	1.188	0.649	3.052	2.392	0.716	1.516	1	1	1	0.000	95.234	28.163	1287.310	0.000	0.000	0.000	8.588	963.505	-450.154	30.193	0.000	0.000	0.000	-473.493	-23.338	0.000	0.000
../../6_seletopclusts/cluster_1_model_2.pdb	-	2	-95.262	1.128	0.730	2.477	2.166	0.763	1.429	1	1	2	0.000	94.786	27.559	1190.790	0.000	0.000	0.000	9.828	960.209	-392.210	27.042	0.000	0.000	0.000	-418.859	-26.649	0.000	0.000
../../6_seletopclusts/cluster_1_model_3.pdb	-	3	-95.226	1.271	0.595	4.038	2.322	0.664	1.771	1	1	3	0.000	97.116	30.229	1284.080	0.000	0.000	0.000	17.014	959.307	-494.657	28.963	0.000	0.000	0.000	-507.965	-13.308	0.000	0.000
../../6_seletopclusts/cluster_1_model_4.pdb	-	4	-65.836	1.908	0.324	6.567	5.083	0.444	2.397	1	1	4	0.000	96.815	28.384	887.423	0.000	0.000	0.000	10.789	961.059	-391.255	29.798	0.000	0.000	0.000	-389.629	1.626	0.000	0.000
../../6_seletopclusts/cluster_1_model_5.pdb	-	5	-59.158	1.267	0.378	2.548	2.557	0.626	1.498	1	1	5	0.000	95.169	29.433	877.189	0.000	0.000	0.000	13.942	964.594	-367.578	29.840	0.000	0.000	0.000	-367.162	0.416	0.000	0.000
