rel_path	ori_name	cluster_name	md5
../4_emref/emref_101.pdb	flexref_101.pdb	cluster_1_model_1.pdb	None
../4_emref/emref_54.pdb	flexref_54.pdb	cluster_1_model_2.pdb	None
../4_emref/emref_195.pdb	flexref_195.pdb	cluster_1_model_3.pdb	None
../4_emref/emref_11.pdb	flexref_11.pdb	cluster_2_model_1.pdb	None
../4_emref/emref_25.pdb	flexref_25.pdb	cluster_2_model_2.pdb	None
../4_emref/emref_22.pdb	flexref_22.pdb	cluster_2_model_3.pdb	None
../4_emref/emref_92.pdb	flexref_92.pdb	cluster_3_model_1.pdb	None
../4_emref/emref_150.pdb	flexref_150.pdb	cluster_3_model_2.pdb	None
../4_emref/emref_141.pdb	flexref_141.pdb	cluster_3_model_3.pdb	None
