model,md5,caprieval_rank,score,irmsd,fnat,lrmsd,ilrmsd,dockq,rmsd,cluster_id,cluster_ranking,model-cluster_ranking,air,angles,bonds,bsa,cdih,coup,dani,desolv,dihe,elec,improper,rdcs,rg,sym,total,vdw,vean,xpcs,provenance
../3_emref/emref_1.pdb,-,1,-105.531,2.339,0.217,5.741,4.185,0.399,2.308,-,-,-,183.292,310.499,76.77,1663.81,0.0,0.0,0.0,-25.665,2582.27,-281.046,86.085,0.0,0.0,0.0,-139.741,-41.987,0.0,0.0,patches_0_0_1
../3_emref/emref_1.pdb,-,1,-99.65,5.027,0.022,9.659,9.203,0.18,4.371,-,-,-,82.874,313.957,77.087,1580.27,0.0,0.0,0.0,-14.15,2583.46,-314.765,86.914,0.0,0.0,0.0,-262.726,-30.835,0.0,0.0,patches_0_0_0
../3_emref/emref_1.pdb,-,1,-62.604,15.76,0.0,47.642,37.408,0.013,15.849,-,-,-,157.499,315.949,74.132,1470.29,0.0,0.0,0.0,3.72,2596.43,-192.733,85.197,0.0,0.0,0.0,-78.76,-43.527,0.0,0.0,patches_0_1_0
../3_emref/emref_1.pdb,-,1,-37.334,3.572,0.043,12.638,7.275,0.168,4.524,-,-,-,155.97,317.841,73.174,974.678,0.0,0.0,0.0,-10.186,2592.0,-131.728,84.138,0.0,0.0,0.0,7.843,-16.399,0.0,0.0,patches_0_1_1
