model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-72.977	2.524	0.216	7.468	5.334	0.347	3.993	1	1	1	0.000	381.968	74.272	1036.250	0.000	0.000	0.000	-6.512	2949.480	-168.221	118.213	0.000	0.000	0.000	-201.041	-32.821	0.000	0.000
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-71.404	2.395	0.284	7.840	5.576	0.369	3.795	1	1	2	0.000	380.862	74.316	1158.880	0.000	0.000	0.000	-9.863	2959.730	-151.131	115.744	0.000	0.000	0.000	-182.446	-31.315	0.000	0.000
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-64.502	2.432	0.216	7.867	5.417	0.343	3.832	1	1	3	0.000	383.197	73.924	1043.080	0.000	0.000	0.000	-12.032	2960.140	-120.310	114.653	0.000	0.000	0.000	-148.718	-28.408	0.000	0.000
../6_seletopclusts/cluster_1_model_4.pdb	-	4	-63.294	2.144	0.284	5.792	4.011	0.432	3.481	1	1	4	0.000	385.508	74.094	1119.530	0.000	0.000	0.000	-11.627	2958.990	-156.759	115.398	0.000	0.000	0.000	-177.075	-20.316	0.000	0.000
